Wavelength,5,10,15,20,25,30,35,40,45,50,55
209,-12.50504,-12.1363,-11.5627,-11.19301,-10.83149,-10.13113,-9.93998,-9.52958,-8.99798,-8.67547,-8.19294
208,-12.98773,-12.60612,-12.08321,-11.72862,-11.3185,-10.657,-10.46325,-10.08776,-9.58249,-9.17877,-8.73201
207,-13.29227,-12.90784,-12.43528,-12.10941,-11.66388,-11.03562,-10.86675,-10.51244,-10.02901,-9.56219,-9.17461
206,-13.25258,-12.84114,-12.45154,-12.18165,-11.75001,-11.16437,-11.00756,-10.6989,-10.22729,-9.77507,-9.43285
205,-12.69195,-12.30256,-12.01155,-11.80354,-11.43317,-10.92089,-10.78149,-10.5162,-10.07324,-9.70498,-9.38894
204,-11.48303,-11.17484,-10.98809,-10.86994,-10.55695,-10.17864,-10.0514,-9.86762,-9.50419,-9.21684,-8.93695
203,-9.48919,-9.36946,-9.25128,-9.25157,-9.04481,-8.81067,-8.74429,-8.68149,-8.37553,-8.20086,-8.0107
202,-6.70636,-6.78523,-6.75481,-6.91964,-6.86172,-6.75428,-6.81556,-6.91744,-6.61745,-6.6837,-6.58293
201,-3.14403,-3.40794,-3.50772,-3.8218,-3.95797,-4.01293,-4.2332,-4.53752,-4.30689,-4.62843,-4.53833
200,1.10654,0.68761,0.4034,-0.09134,-0.43811,-0.61835,-1.03674,-1.59274,-1.5217,-2.01576,-2.04476
199,5.73756,5.14123,4.68307,3.97728,3.39793,3.08555,2.47465,1.66876,1.54538,0.85281,0.69674
198,10.53234,9.74552,9.10708,8.18901,7.38355,6.93424,6.13653,5.08934,4.72699,3.86944,3.51512
197,15.24865,14.2596,13.43986,12.32127,11.31286,10.72118,9.75123,8.49019,7.85637,6.87852,6.24953
196,19.63728,18.4407,17.44326,16.1488,14.97655,14.23877,13.11579,11.687,10.76971,9.7212,8.75241
195,23.45392,22.05798,20.8897,19.45598,18.17304,17.29055,16.03252,14.49944,13.31674,12.24414,10.90313
194,26.47096,24.90628,23.57543,22.04908,20.71968,19.70338,18.31964,16.76052,15.3713,14.30818,12.62164
193,28.48944,26.81995,25.33367,23.76854,22.46394,21.33965,19.82187,18.32602,16.84193,15.79701,13.88216
192,29.35087,27.68662,26.04785,24.50127,23.29454,22.10943,20.42095,19.0839,17.68246,16.62586,14.72678
191,28.94915,27.46097,25.66478,24.1929,23.15269,21.98274,20.04631,18.96376,17.90254,16.7502,15.27915
190,27.24237,26.17857,24.20788,22.86006,22.04323,21.00164,18.68561,17.94617,17.57826,16.1744,15.75811
